-0.5;92.5;92;30;105;45;45;30;27;27;21;42;102
14.5;93;107.5;40;120;60;60;30;27;37;15;30;110
27;93.5;120.5;48;132;72;72;30;27;45;10;20;116
37;94;131;54;141;81;81;30;27;51;6;12;120
44.5;94.5;139;58;147;87;87;30;27;55;3;6;122
49.5;95;144.5;60;150;90;90;30;27;57;1;2;122
52;95.5;147.5;60;150;90;90;30;27;57;0;0;120
52;96;148;58;147;87;87;30;27;55;0;0;116
51;96.5;147.5;55;141;81;81;30;27;52;0;0;110
49;97;146;51;132;72;72;30;27;48;0;0;102
46;97.5;143.5;46;120;60;60;30;27;43;0;0;92
42;99;141;40;105;48;48;28.5;25.5;37;0;0;80
37;101.5;138.5;33;87;36;36;25.5;22.5;30;0;0;66
31;105;136;25;66;24;24;21;18;22;0;0;50
24;109.5;133.5;16;42;12;12;15;12;13;0;0;32
16;115;131;6;15;0;0;7.5;4.5;3;0;0;12
